date,est_ridership,pre_pandemic_ratio,est_pre_pandemic_ridership
2021-02,1639753,0.3,5465843
2021-02,1666467,0.31,5375700
2021-02,1750121,0.32,5469128
2021-02,1714656,0.32,5358300
2021-02,1706430,0.31,5504612
2021-02,1092063,0.38,2873850
2021-02,858014,0.39,2200035
2021-02,1218593,0.56,2176058
2021-02,1627528,0.3,5425093
2021-02,1733160,0.32,5416125
2021-02,1381886,0.25,5527544
2021-02,1566021,0.29,5400072
2021-02,1110589,0.39,2847664
2021-02,836095,0.38,2200250
2021-02,1582054,0.29,5455358
2021-02,1730198,0.32,5406868
2021-02,1806306,0.33,5473654
2021-02,1798165,0.33,5448984
2021-02,1822812,0.34,5361211
2021-02,1072932,0.37,2899816
2021-02,810071,0.37,2189381
2021-03,1696274,0.3,5654246
2021-03,1749511,0.31,5643583
2021-03,1846431,0.33,5595245
2021-03,1808744,0.32,5652325
2021-03,1825915,0.33,5533075
2021-03,1167884,0.38,3073378
2021-03,894119,0.39,2292612
2021-03,1719586,0.31,5547051
2021-03,1834068,0.33,5557781
2021-03,1849077,0.33,5603263
2021-03,1881902,0.34,5535005
2021-03,1914465,0.34,5630779
2021-03,1257372,0.41,3066760
2021-03,923968,0.4,2309920
2021-03,1730024,0.31,5580722
2021-03,1798288,0.32,5619650
2021-03,1866414,0.34,5489452
2021-03,1771092,0.32,5534662
2021-03,1906749,0.34,5608085
2021-03,1307403,0.43,3040472
2021-03,1013386,0.44,2303150
2021-03,1801438,0.32,5629493
2021-03,1879574,0.34,5528158
2021-03,1828084,0.33,5539648
2021-03,1925768,0.35,5502194
2021-03,1938246,0.35,5537845
2021-03,1374266,0.45,3053924
2021-03,807247,0.35,2306420
2021-03,1742162,0.31,5619877
2021-03,1881537,0.34,5533932
2021-03,1808546,0.32,5651706
2021-04,1841815,0.33,5581257
2021-04,1757698,0.32,5492806
2021-04,1318461,0.42,3139192
2021-04,950194,0.39,2436394
2021-04,1818703,0.33,5511221
2021-04,1942198,0.35,5549137
2021-04,1985370,0.36,5514916
2021-04,2013413,0.36,5592813
2021-04,2026724,0.36,5629788
2021-04,1391245,0.44,3161920
2021-04,899646,0.37,2431475
2021-04,1845836,0.33,5593442
2021-04,2012153,0.36,5589313
2021-04,2018126,0.36,5605905
2021-04,1906733,0.34,5608038
2021-04,2078856,0.37,5618529
2021-04,1425036,0.45,3166746
2021-04,1082503,0.45,2405562
2021-04,1911326,0.34,5621547
2021-04,2082495,0.37,5628364
2021-04,1965922,0.35,5616920
2021-04,2040232,0.37,5514140
2021-04,2121350,0.38,5582500
2021-04,1520057,0.48,3166785
2021-04,985027,0.41,2402504
2021-04,1955370,0.35,5586771
2021-04,2041698,0.37,5518102
2021-04,2135793,0.38,5620507
2021-04,2028524,0.36,5634788
2021-04,2159476,0.39,5537117
2021-05,1515211,0.47,3223853
2021-05,1153471,0.48,2403064
2021-05,1971010,0.34,5797088
2021-05,2120071,0.37,5729921
2021-05,2074543,0.36,5762619
2021-05,2199943,0.38,5789323
2021-05,2238033,0.39,5738546
2021-05,1444674,0.45,3210386
2021-05,1107878,0.46,2408430
2021-05,1990039,0.35,5685825
2021-05,2148322,0.38,5653478
2021-05,2182277,0.38,5742834
2021-05,2163052,0.38,5692242
2021-05,2266974,0.4,5667435
2021-05,1637231,0.51,3210256
2021-05,1201904,0.5,2403808
2021-05,2022584,0.35,5778811
2021-05,2150049,0.38,5658023
2021-05,2257549,0.39,5788587
2021-05,2269471,0.4,5673677
2021-05,2331876,0.41,5687502
2021-05,1645268,0.51,3226015
2021-05,1268928,0.53,2394203
2021-05,2118877,0.37,5726694
2021-05,2270945,0.4,5677362
2021-05,2275882,0.4,5689705
2021-05,2352019,0.41,5736631
2021-05,2232599,0.39,5724612
2021-05,1370135,0.43,3186360
2021-05,1065176,0.45,2367057
2021-05,1389651,0.58,2395950
2021-06,2258831,0.4,5647077
2021-06,2343745,0.42,5580345
2021-06,2233917,0.4,5584792
2021-06,2310032,0.41,5634224
2021-06,1792204,0.56,3200364
2021-06,1363344,0.52,2621815
2021-06,2223265,0.4,5558162
2021-06,2265591,0.4,5663977
2021-06,2386026,0.43,5548897
2021-06,2473818,0.44,5622313
2021-06,2468258,0.44,5609677
2021-06,1775538,0.55,3228250
2021-06,1379959,0.53,2603696
2021-06,2223186,0.4,5557965
2021-06,2469785,0.44,5613147
2021-06,2519444,0.45,5598764
2021-06,2552497,0.46,5548906
2021-06,2572013,0.98,2624503
2021-06,1784312,0.55,3244203
2021-06,1389352,0.53,2621418
2021-06,2264368,0.4,5660920
2021-06,2354873,0.42,5606840
2021-06,2547416,0.45,5660924
2021-06,2552639,0.46,5549215
2021-06,2582713,0.46,5614593
2021-06,1854179,0.58,3196860
2021-06,1559967,0.6,2599945
2021-06,2252362,0.4,5630905
2021-06,2343739,0.42,5580330
2021-06,2346388,0.42,5586638
2021-07,2292461,0.43,5331304
2021-07,2296044,0.43,5339637
2021-07,1541988,0.55,2803614
2021-07,1468510,0.63,2330968
2021-07,1495709,0.64,2337045
2021-07,2302002,0.44,5231822
2021-07,2437064,0.46,5297965
2021-07,2364250,0.45,5253888
2021-07,2318387,0.44,5269061
2021-07,1781717,0.63,2828122
2021-07,1365854,0.58,2354920
2021-07,2245412,0.43,5221888
2021-07,2457526,0.47,5228778
2021-07,2517615,0.48,5245031
2021-07,2581582,0.49,5268534
2021-07,2536569,0.48,5284518
2021-07,1717480,0.61,2815540
2021-07,1405344,0.6,2342240
2021-07,2327756,0.44,5290354
2021-07,2462002,0.47,5238302
2021-07,2504568,0.47,5328868
2021-07,2582151,0.49,5269695
2021-07,2552330,0.48,5317354
2021-07,1852402,0.66,2806669
2021-07,1364830,0.58,2353155
2021-07,2318455,0.44,5269215
2021-07,2487947,0.47,5293504
2021-07,2534756,0.48,5280741
2021-07,2428764,0.46,5279921
2021-07,2557677,0.48,5328493
2021-07,1841007,0.65,2832318
2021-08,1351294,0.57,2370691
2021-08,2333923,0.45,5186495
2021-08,2483802,0.48,5174587
2021-08,2529002,0.49,5161228
2021-08,2529190,0.49,5161612
2021-08,2519444,0.49,5141722
2021-08,1780458,0.61,2918783
2021-08,1333885,0.56,2381937
2021-08,2289434,0.45,5087631
2021-08,2442194,0.48,5087904
2021-08,2475949,0.48,5158227
2021-08,2448589,0.48,5101227
2021-08,2430102,0.47,5170429
2021-08,1718222,0.58,2962451
2021-08,1430620,0.6,2384366
2021-08,2287627,0.45,5083615
2021-08,2427611,0.47,5165129
